Time,Temperature,Humidity,Lux,VPD,DLI_Accumulated
2025-12-20 02:24:41,25.6,41,3225,1.94,0.0001
2025-12-20 02:24:43,25.6,41,3216,1.94,0.0002
2025-12-20 02:24:45,25.6,41,3274,1.94,0.0004
2025-12-20 02:24:47,25.5,41,3235,1.93,0.0005
2025-12-20 02:24:49,25.6,41,3167,1.94,0.0006
2025-12-20 02:24:51,25.6,41,3167,1.94,0.0007
2025-12-20 02:24:53,25.7,41,3176,1.95,0.0008
2025-12-20 02:24:55,25.6,41,3216,1.94,0.0010
2025-12-20 02:24:57,25.6,41,3206,1.94,0.0011
2025-12-20 02:24:59,25.6,41,3235,1.94,0.0012
2025-12-20 02:25:01,25.6,41,3235,1.94,0.0013
2025-12-20 02:25:03,25.7,41,3176,1.95,0.0014
2025-12-20 02:25:05,25.7,41,3167,1.95,0.0015
2025-12-20 02:25:07,25.7,41,3245,1.95,0.0017
2025-12-20 02:25:09,25.7,41,3167,1.95,0.0018
2025-12-20 02:25:11,25.7,41,3186,1.95,0.0019
2025-12-20 02:25:13,25.7,41,3196,1.95,0.0020
2025-12-20 02:25:15,25.7,41,3196,1.95,0.0021
2025-12-20 02:25:17,25.7,41,3186,1.95,0.0023
2025-12-20 02:25:19,25.8,41,3284,1.96,0.0024
2025-12-20 02:25:21,25.7,41,3225,1.95,0.0025
2025-12-20 02:25:23,25.8,41,3235,1.96,0.0026
2025-12-20 02:25:25,25.7,41,3245,1.95,0.0027
2025-12-20 02:25:27,25.8,41,3235,1.96,0.0029
2025-12-20 02:25:29,25.6,41,3225,1.94,0.0030
2025-12-20 02:25:31,25.8,41,3235,1.96,0.0031
2025-12-20 02:25:33,25.7,41,3225,1.95,0.0032
2025-12-20 02:25:35,25.8,41,3235,1.96,0.0033
2025-12-20 02:25:37,25.7,41,3235,1.95,0.0035
2025-12-20 02:25:39,25.8,41,3323,1.96,0.0036
2025-12-20 02:25:41,25.8,41,3245,1.96,0.0037
2025-12-20 02:25:43,25.7,41,3255,1.95,0.0038
2025-12-20 02:25:45,25.8,41,3362,1.96,0.0039
2025-12-20 02:25:47,25.7,41,3235,1.95,0.0041
2025-12-20 02:25:49,25.7,41,3245,1.95,0.0042
2025-12-20 02:25:51,25.7,41,3284,1.95,0.0043
2025-12-20 02:25:53,25.8,41,3245,1.96,0.0044
2025-12-20 02:25:55,25.8,41,3245,1.96,0.0045
2025-12-20 02:25:57,25.8,41,3264,1.96,0.0047
2025-12-20 02:25:59,25.8,41,3235,1.96,0.0048
2025-12-20 02:26:01,25.8,41,3255,1.96,0.0049
2025-12-20 02:26:03,25.8,41,3235,1.96,0.0050
2025-12-20 02:26:05,25.8,41,3255,1.96,0.0051
2025-12-20 02:26:07,25.8,41,3245,1.96,0.0053
2025-12-20 02:26:09,25.8,41,3235,1.96,0.0054
2025-12-20 02:26:11,25.7,41,3255,1.95,0.0055
2025-12-20 02:26:13,25.9,41,3284,1.97,0.0056
2025-12-20 02:26:15,25.8,41,3264,1.96,0.0057
2025-12-20 02:26:17,25.7,41,3216,1.95,0.0059
2025-12-20 02:26:19,25.7,41,3274,1.95,0.0060
2025-12-20 02:26:21,25.9,41,3225,1.97,0.0061
2025-12-20 02:26:23,25.7,41,3186,1.95,0.0062
2025-12-20 02:26:25,25.8,41,3225,1.96,0.0063
2025-12-20 02:26:27,25.8,41,3225,1.96,0.0065
2025-12-20 02:26:29,25.7,41,3411,1.95,0.0066
2025-12-20 02:26:31,25.7,41,3235,1.95,0.0067
2025-12-20 02:26:33,25.8,41,3225,1.96,0.0068
2025-12-20 02:26:35,25.8,41,3225,1.96,0.0070
2025-12-20 02:26:37,25.7,41,2922,1.95,0.0071
2025-12-20 02:26:39,25.8,41,3294,1.96,0.0072
2025-12-20 02:26:41,25.7,41,3763,1.95,0.0073
2025-12-20 02:26:43,25.7,41,3284,1.95,0.0074
2025-12-20 02:26:45,25.8,41,3274,1.96,0.0076
2025-12-20 02:26:47,25.8,40,3284,1.99,0.0077
2025-12-20 02:26:49,25.8,40,3333,1.99,0.0078
2025-12-20 02:26:51,25.7,40,3069,1.98,0.0079
2025-12-20 02:26:53,25.6,40,3059,1.97,0.0080
2025-12-20 02:26:55,25.7,40,3079,1.98,0.0082
2025-12-20 02:26:57,25.7,40,3079,1.98,0.0083
2025-12-20 02:26:59,25.7,40,3069,1.98,0.0084
2025-12-20 02:27:01,25.7,40,3128,1.98,0.0085
2025-12-20 02:27:03,25.7,40,3069,1.98,0.0086
2025-12-20 02:27:05,25.7,40,3196,1.98,0.0087
2025-12-20 02:27:07,25.7,40,3196,1.98,0.0088
2025-12-20 02:27:09,25.7,40,3235,1.98,0.0090
2025-12-20 02:27:11,25.6,40,3235,1.97,0.0091
2025-12-20 02:27:13,25.6,40,3216,1.97,0.0092
2025-12-20 02:27:15,25.6,41,3196,1.94,0.0093
2025-12-20 02:27:17,25.6,40,3225,1.97,0.0094
2025-12-20 02:27:19,25.7,40,3235,1.98,0.0096
2025-12-20 02:27:21,25.6,40,3216,1.97,0.0097
2025-12-20 02:27:23,25.6,41,3255,1.94,0.0098
2025-12-20 02:27:25,25.6,41,3284,1.94,0.0099
2025-12-20 02:27:27,25.6,41,3284,1.94,0.0100
2025-12-20 02:27:29,25.6,41,3304,1.94,0.0102
2025-12-20 02:27:31,25.7,41,3880,1.95,0.0103
2025-12-20 02:27:33,25.5,41,3294,1.93,0.0104
2025-12-20 02:27:35,25.6,41,3333,1.94,0.0106
2025-12-20 02:27:37,25.6,41,3284,1.94,0.0107
2025-12-20 02:27:39,25.7,41,3333,1.95,0.0108
2025-12-20 02:27:41,25.5,41,3245,1.93,0.0109
2025-12-20 02:27:44,25.6,41,3245,1.94,0.0110
2025-12-20 02:27:46,25.5,41,3245,1.93,0.0112
2025-12-20 02:27:48,25.5,41,3235,1.93,0.0113
2025-12-20 02:27:50,25.5,41,3235,1.93,0.0114
2025-12-20 02:27:52,25.5,41,3763,1.93,0.0115
2025-12-20 02:27:54,25.6,41,3186,1.94,0.0117
2025-12-20 02:27:56,25.6,41,3206,1.94,0.0118
2025-12-20 02:27:58,25.6,41,3216,1.94,0.0119
2025-12-20 02:28:00,25.6,41,3196,1.94,0.0120
2025-12-20 02:28:02,25.6,41,3216,1.94,0.0121
2025-12-20 02:28:04,25.5,41,2844,1.93,0.0122
2025-12-20 02:28:06,25.6,41,3176,1.94,0.0124
2025-12-20 02:28:08,25.5,41,3186,1.93,0.0125
2025-12-20 02:28:10,25.5,41,3176,1.93,0.0126
2025-12-20 02:28:12,25.6,41,3235,1.94,0.0127
2025-12-20 02:28:14,25.5,40,3225,1.96,0.0128
2025-12-20 02:28:16,25.4,40,3264,1.95,0.0130
2025-12-20 02:28:18,25.6,40,3264,1.97,0.0131
2025-12-20 02:28:20,25.6,40,3245,1.97,0.0132
2025-12-20 02:28:22,25.5,40,3255,1.96,0.0133
2025-12-20 02:28:24,25.5,40,3245,1.96,0.0134
2025-12-20 02:28:26,25.5,40,3245,1.96,0.0136
2025-12-20 02:28:28,25.6,40,3831,1.97,0.0137
2025-12-20 02:28:30,25.6,40,3333,1.97,0.0138
2025-12-20 02:28:32,25.5,40,3245,1.96,0.0139
2025-12-20 02:28:34,25.6,40,3304,1.97,0.0141
2025-12-20 02:28:36,25.5,40,3216,1.96,0.0142
2025-12-20 02:28:38,25.5,40,3176,1.96,0.0143
2025-12-20 02:28:40,25.5,40,3030,1.96,0.0144
2025-12-20 02:28:42,25.6,40,2873,1.97,0.0145
2025-12-20 02:28:44,25.6,40,3665,1.97,0.0147
2025-12-20 02:28:46,25.5,40,3284,1.96,0.0148
2025-12-20 02:28:48,25.5,40,3294,1.96,0.0149
2025-12-20 02:28:50,25.5,40,3294,1.96,0.0150
2025-12-20 02:28:52,25.6,40,3343,1.97,0.0151
2025-12-20 02:28:54,25.5,40,3284,1.96,0.0153
2025-12-20 02:28:56,25.5,40,3382,1.96,0.0154
2025-12-20 02:28:58,25.5,40,3176,1.96,0.0155
2025-12-20 02:29:00,25.5,40,3206,1.96,0.0156
2025-12-20 02:29:02,25.5,40,3274,1.96,0.0157
2025-12-20 02:29:04,25.4,40,3255,1.95,0.0159
2025-12-20 02:29:06,25.5,40,3372,1.96,0.0160
2025-12-20 02:29:08,25.6,40,3255,1.97,0.0161
2025-12-20 02:29:10,25.6,40,3255,1.97,0.0162
2025-12-20 02:29:12,25.6,40,3274,1.97,0.0164
2025-12-20 02:29:14,25.6,40,3245,1.97,0.0165
2025-12-20 02:29:16,25.6,40,3245,1.97,0.0166
2025-12-20 02:29:18,25.6,40,3255,1.97,0.0167
2025-12-20 02:29:20,25.6,41,3255,1.94,0.0168
2025-12-20 02:29:22,25.6,40,3274,1.97,0.0170
2025-12-20 02:29:24,25.6,40,3264,1.97,0.0171
2025-12-20 02:29:26,25.6,40,3245,1.97,0.0172
2025-12-20 02:29:28,25.6,40,3264,1.97,0.0173
2025-12-20 02:29:30,25.6,41,3245,1.94,0.0174
2025-12-20 02:29:32,25.6,41,3245,1.94,0.0176
2025-12-20 02:29:34,25.6,41,3264,1.94,0.0177
2025-12-20 02:29:36,25.6,41,3255,1.94,0.0178
2025-12-20 02:29:38,25.6,41,3245,1.94,0.0179
2025-12-20 02:29:40,25.6,41,3274,1.94,0.0180
2025-12-20 02:29:42,25.6,41,3264,1.94,0.0182
2025-12-20 02:29:44,25.6,41,3323,1.94,0.0183
2025-12-20 02:29:46,25.6,41,3255,1.94,0.0184
2025-12-20 02:29:48,25.6,41,3274,1.94,0.0185
2025-12-20 02:29:50,25.6,41,3225,1.94,0.0186
2025-12-20 02:29:52,25.6,41,3255,1.94,0.0188
2025-12-20 02:29:54,25.6,41,3411,1.94,0.0189
2025-12-20 02:29:56,25.5,41,3245,1.93,0.0190
2025-12-20 02:29:58,25.6,41,3421,1.94,0.0191
2025-12-20 02:30:00,25.6,41,3597,1.94,0.0193
2025-12-20 02:30:02,25.6,41,3264,1.94,0.0194
2025-12-20 02:30:04,25.6,41,3245,1.94,0.0195
2025-12-20 02:30:06,25.5,41,3245,1.93,0.0196
2025-12-20 02:30:08,25.5,41,3264,1.93,0.0198
2025-12-20 02:30:10,25.6,41,3255,1.94,0.0199
2025-12-20 02:30:12,25.5,41,3245,1.93,0.0200
2025-12-20 02:30:14,25.4,41,3216,1.91,0.0201
2025-12-20 02:30:16,25.4,41,3313,1.91,0.0202
2025-12-20 02:30:18,25.5,41,3235,1.93,0.0204
2025-12-20 02:30:20,25.5,41,3235,1.93,0.0205
2025-12-20 02:30:22,25.5,41,3235,1.93,0.0206
2025-12-20 02:30:24,25.5,41,3225,1.93,0.0207
2025-12-20 02:30:26,25.4,41,3255,1.91,0.0208
2025-12-20 02:30:28,25.5,41,3255,1.93,0.0210
2025-12-20 02:30:30,25.5,41,3235,1.93,0.0211
2025-12-20 02:30:32,25.4,41,3235,1.91,0.0212
2025-12-20 02:30:34,25.4,41,3245,1.91,0.0213
2025-12-20 02:30:36,25.5,40,3245,1.96,0.0214
2025-12-20 02:30:38,25.5,41,3235,1.93,0.0216
2025-12-20 02:30:40,25.5,41,3274,1.93,0.0217
2025-12-20 02:30:42,25.4,41,3235,1.91,0.0218
2025-12-20 02:30:44,25.5,41,3391,1.93,0.0219
2025-12-20 02:30:46,25.4,41,3274,1.91,0.0220
2025-12-20 02:30:48,25.4,41,2394,1.91,0.0221
2025-12-20 02:30:50,25.4,41,3255,1.91,0.0223
2025-12-20 02:30:52,25.6,41,3245,1.94,0.0224
2025-12-20 02:30:54,25.4,41,3245,1.91,0.0225
2025-12-20 02:30:56,25.5,41,3235,1.93,0.0226
2025-12-20 02:30:58,25.5,41,3225,1.93,0.0227
2025-12-20 02:31:00,25.6,41,3235,1.94,0.0229
2025-12-20 02:31:02,25.5,41,3255,1.93,0.0230
2025-12-20 02:31:04,25.4,41,3264,1.91,0.0231
2025-12-20 02:31:06,25.5,41,3235,1.93,0.0232
2025-12-20 02:31:08,25.4,41,3235,1.91,0.0233
2025-12-20 02:31:10,25.4,41,3235,1.91,0.0235
2025-12-20 02:31:12,25.5,41,3401,1.93,0.0236
2025-12-20 02:31:14,25.4,41,3391,1.91,0.0237
2025-12-20 02:31:16,25.4,41,3235,1.91,0.0238
2025-12-20 02:31:18,25.6,41,3460,1.94,0.0240
2025-12-20 02:31:20,25.4,41,3235,1.91,0.0241
2025-12-20 02:31:22,25.4,41,3216,1.91,0.0242
2025-12-20 02:31:24,25.4,41,3186,1.91,0.0243
2025-12-20 02:31:26,25.4,41,3206,1.91,0.0244
2025-12-20 02:31:28,25.4,41,3264,1.91,0.0246
2025-12-20 02:31:30,25.4,41,3245,1.91,0.0247
2025-12-20 02:31:32,25.4,41,3264,1.91,0.0248
2025-12-20 02:31:34,25.5,41,3225,1.93,0.0249
2025-12-20 02:31:36,25.3,41,3695,1.9,0.0251
2025-12-20 02:31:38,25.4,41,3196,1.91,0.0252
2025-12-20 02:31:40,25.5,41,3225,1.93,0.0253
2025-12-20 02:31:42,25.3,41,3186,1.9,0.0254
2025-12-20 02:31:44,25.4,41,3216,1.91,0.0255
2025-12-20 02:31:46,25.4,41,3225,1.91,0.0256
2025-12-20 02:31:48,25.5,41,3216,1.93,0.0258
2025-12-20 02:31:50,25.5,41,3597,1.93,0.0259
2025-12-20 02:31:52,25.4,41,3206,1.91,0.0260
2025-12-20 02:31:54,25.4,41,3206,1.91,0.0261
2025-12-20 02:31:56,25.5,41,3206,1.93,0.0263
2025-12-20 02:31:58,25.4,40,3216,1.95,0.0264
2025-12-20 02:32:00,25.5,40,3206,1.96,0.0265
2025-12-20 02:32:02,25.4,40,3558,1.95,0.0266
2025-12-20 02:32:04,25.5,40,3206,1.96,0.0267
2025-12-20 02:32:06,25.4,40,3362,1.95,0.0269
2025-12-20 02:32:08,25.4,40,3255,1.95,0.0270
2025-12-20 02:32:10,25.5,40,3245,1.96,0.0271
2025-12-20 02:32:12,25.5,40,3216,1.96,0.0272
2025-12-20 02:32:14,25.5,40,3225,1.96,0.0273
2025-12-20 02:32:16,25.5,40,3235,1.96,0.0275
2025-12-20 02:32:18,25.5,40,3245,1.96,0.0276
2025-12-20 02:32:20,25.4,40,3264,1.95,0.0277
2025-12-20 02:32:22,25.5,40,3255,1.96,0.0278
2025-12-20 02:32:24,25.5,40,3264,1.96,0.0280
2025-12-20 02:32:26,25.5,40,3264,1.96,0.0281
2025-12-20 02:32:28,25.5,40,3255,1.96,0.0282
2025-12-20 02:32:30,25.4,40,3294,1.95,0.0283
2025-12-20 02:32:32,25.5,40,3255,1.96,0.0284
2025-12-20 02:32:34,25.6,40,3274,1.97,0.0286
2025-12-20 02:32:36,25.5,40,3245,1.96,0.0287
2025-12-20 02:32:38,25.5,40,3264,1.96,0.0288
2025-12-20 02:32:40,25.5,40,3294,1.96,0.0289
2025-12-20 02:32:42,25.5,40,3304,1.96,0.0290
2025-12-20 02:32:44,25.5,40,3460,1.96,0.0292
2025-12-20 02:32:46,25.6,40,3264,1.97,0.0293
2025-12-20 02:32:48,25.6,40,3294,1.97,0.0294
2025-12-20 02:32:50,25.5,40,3304,1.96,0.0295
2025-12-20 02:32:52,25.6,41,3274,1.94,0.0297
2025-12-20 02:32:54,25.5,41,3274,1.93,0.0298
2025-12-20 02:32:56,25.6,41,3264,1.94,0.0299
2025-12-20 02:32:58,25.5,41,3264,1.93,0.0300
2025-12-20 02:33:00,25.6,41,3968,1.94,0.0302
2025-12-20 02:33:02,25.6,41,3597,1.94,0.0303
2025-12-20 02:33:04,25.6,41,3225,1.94,0.0304
2025-12-20 02:33:06,25.5,40,3264,1.96,0.0305
2025-12-20 02:33:08,25.5,41,3225,1.93,0.0307
2025-12-20 02:33:10,25.5,41,3225,1.93,0.0308
2025-12-20 02:33:12,25.6,41,3235,1.94,0.0309
2025-12-20 02:33:14,25.5,41,3235,1.93,0.0310
2025-12-20 02:33:16,25.5,40,3255,1.96,0.0311
2025-12-20 02:33:18,25.5,41,3245,1.93,0.0313
2025-12-20 02:33:20,25.5,41,3245,1.93,0.0314
2025-12-20 02:33:22,25.6,41,3176,1.94,0.0315
2025-12-20 02:33:24,25.6,41,3225,1.94,0.0316
