Time,Temperature,Humidity,Lux,VPD,DLI_Accumulated
2025-12-20 02:41:57,25.5,40,3176,1.96,0.0001
2025-12-20 02:42:01,25.5,40,3313,1.96,0.0004
2025-12-20 02:43:01,25.4,41,3391,1.91,0.0040
2025-12-20 02:44:01,25.3,41,3274,1.9,0.0077
2025-12-20 02:45:57,24.8,40,3304,1.88,0.0001
2025-12-20 02:46:01,24.8,40,3304,1.88,0.0004
2025-12-20 02:48:48,24.9,41,3372,1.86,0.0014
2025-12-20 02:49:00,25.0,41,3421,1.87,0.0021
2025-12-20 02:50:00,25.1,41,3323,1.88,0.0059
2025-12-20 02:51:00,24.9,40,215,1.89,0.0080
2025-12-20 02:52:00,23.6,37,0,1.84,0.0080
2025-12-20 02:53:00,21.8,36,0,1.67,0.0081
2025-12-20 02:54:00,20.4,38,97,1.49,0.0081
2025-12-20 02:55:00,19.7,39,9,1.4,0.0081
2025-12-20 02:56:00,19.2,40,9,1.33,0.0082
2025-12-20 02:57:00,18.6,40,97,1.29,0.0082
2025-12-20 02:58:00,18.3,41,9,1.24,0.0082
2025-12-20 02:59:00,17.9,42,9,1.19,0.0083
2025-12-20 03:00:00,17.6,42,0,1.17,0.0083
2025-12-20 03:01:00,17.4,43,68,1.13,0.0083
2025-12-20 03:02:00,17.2,43,9,1.12,0.0084
2025-12-20 03:03:01,17.1,43,9,1.11,0.0084
2025-12-20 03:04:01,16.9,44,195,1.08,0.0085
2025-12-20 03:05:01,16.8,44,9,1.07,0.0085
2025-12-20 03:06:01,16.6,44,9,1.06,0.0086
2025-12-20 03:07:01,16.5,44,9,1.05,0.0086
2025-12-20 03:08:01,16.5,44,9,1.05,0.0086
2025-12-20 03:09:01,16.3,44,9,1.04,0.0087
2025-12-20 03:10:01,16.3,44,9,1.04,0.0087
2025-12-20 03:11:01,16.3,44,9,1.04,0.0087
2025-12-20 03:12:01,16.1,45,9,1.01,0.0088
2025-12-20 03:13:01,16.1,45,283,1.01,0.0088
2025-12-20 03:14:01,16.2,45,9,1.01,0.0089
2025-12-20 03:15:01,16.1,45,58,1.01,0.0089
2025-12-20 03:16:01,15.8,46,0,0.97,0.0090
2025-12-20 03:17:01,15.8,46,0,0.97,0.0090
2025-12-20 03:18:01,15.9,46,0,0.98,0.0091
2025-12-20 03:19:01,15.9,46,0,0.98,0.0091
2025-12-20 03:20:01,15.7,46,9,0.96,0.0091
2025-12-20 03:21:01,15.9,46,0,0.98,0.0091
2025-12-20 03:22:01,15.7,46,0,0.96,0.0092
2025-12-20 03:23:01,15.6,46,0,0.96,0.0092
2025-12-20 03:24:01,15.6,46,0,0.96,0.0092
2025-12-20 03:25:01,15.6,46,9,0.96,0.0093
2025-12-20 03:26:01,15.5,46,0,0.95,0.0093
2025-12-20 03:27:01,15.5,46,0,0.95,0.0093
2025-12-20 03:28:01,15.6,46,0,0.96,0.0093
2025-12-20 03:29:02,15.4,46,9,0.94,0.0093
2025-12-20 03:30:00,15.4,46,48,0.94,0.0094
2025-12-20 03:31:00,15.4,47,0,0.93,0.0094
2025-12-20 03:32:00,15.4,47,39,0.93,0.0094
2025-12-20 03:33:00,15.3,47,0,0.92,0.0094
2025-12-20 03:34:00,15.3,47,19,0.92,0.0095
2025-12-20 03:35:00,15.3,47,9,0.92,0.0095
2025-12-20 03:36:00,15.2,47,0,0.92,0.0095
2025-12-20 03:37:00,15.2,47,9,0.92,0.0095
2025-12-20 03:38:00,15.3,47,9,0.92,0.0096
2025-12-20 03:39:00,15.1,47,0,0.91,0.0096
2025-12-20 03:40:00,15.3,47,606,0.92,0.0097
2025-12-20 03:41:00,15.2,47,29,0.92,0.0097
2025-12-20 03:42:00,15.1,47,9,0.91,0.0097
2025-12-20 03:43:00,15.2,47,146,0.92,0.0098
2025-12-20 03:44:00,15.2,47,19,0.92,0.0099
2025-12-20 03:45:00,15.2,47,9,0.92,0.0099
2025-12-20 03:46:00,15.1,47,0,0.91,0.0099
2025-12-20 03:47:00,15.1,47,9,0.91,0.0100
2025-12-20 03:48:00,15.1,47,0,0.91,0.0100
2025-12-20 03:49:00,15.0,47,0,0.9,0.0101
2025-12-20 03:50:00,15.0,47,9,0.9,0.0101
2025-12-20 03:51:00,15.0,47,9,0.9,0.0101
2025-12-20 03:52:00,15.0,47,9,0.9,0.0101
2025-12-20 03:53:00,15.1,47,9,0.91,0.0101
2025-12-20 03:54:00,15.0,47,0,0.9,0.0101
2025-12-20 03:55:00,14.9,47,9,0.9,0.0102
2025-12-20 03:56:01,15.0,47,0,0.9,0.0102
2025-12-20 03:57:01,15.0,47,9,0.9,0.0102
2025-12-20 03:58:01,14.9,47,19,0.9,0.0103
2025-12-20 03:59:01,15.0,47,107,0.9,0.0103
2025-12-20 04:00:01,14.9,47,58,0.9,0.0103
2025-12-20 04:01:01,14.9,47,224,0.9,0.0103
2025-12-20 04:02:01,14.9,47,9,0.9,0.0104
2025-12-20 04:03:01,14.9,47,9,0.9,0.0104
2025-12-20 04:04:01,14.9,47,9,0.9,0.0104
2025-12-20 04:05:01,14.8,47,9,0.89,0.0105
2025-12-20 04:06:01,14.9,47,9,0.9,0.0105
2025-12-20 04:07:01,14.9,47,9,0.9,0.0105
2025-12-20 04:08:01,14.9,47,0,0.9,0.0106
2025-12-20 04:09:01,14.9,47,9,0.9,0.0106
2025-12-20 04:10:01,14.9,47,48,0.9,0.0106
2025-12-20 04:11:01,14.9,47,19,0.9,0.0107
